Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",432,Landlocked developing countries (LLDCs),LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,46.99221,47.10761,,47.46219,47.7006,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",419,Latin America and the Caribbean,LOWSEC,G,PERCENT,,,,,,,,,,52.89606,52.89444,54.52148,56.295,57.83488,59.39124,61.009,61.75115,61.86662,62.34774,,,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",419,Latin America and the Caribbean,PRIMAR,G,PERCENT,,,,,,,,,,31.84417,32.42096,34.0841,35.90412,37.53634,39.14922,40.74907,42.08674,42.71024,42.96796,,,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",419,Latin America and the Caribbean,UPPSEC,G,PERCENT,,,,,,,,,,66.64719,66.5631,66.6799,66.92802,66.91595,66.87687,66.9698,66.98381,66.14895,67.29529,69.05773,69.85866,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",428,Latvia,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,,,,,,LVA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",428,Latvia,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,100,,,,,,LVA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",428,Latvia,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,100,,,,,,LVA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",428,Latvia,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,,,,,,LVA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",199,Least Developed Countries (LDCs),LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,34.09943,,,35.18149,,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",199,Least Developed Countries (LDCs),PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,,27.31234,27.51706,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",199,Least Developed Countries (LDCs),UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,32.0662,31.92644,32.18754,33.16564,34.74516,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",422,Lebanon,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,93.10071,94.38815,94.44444,,LBN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",422,Lebanon,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,89.87915,91.09063,91.31833,,LBN
